season,competition,round,date,time,referee,ground,teamA,scoreA,scorerA,yellowA,redA,penaltyA,teamB,scoreB,scorerB,yellowB,redB,penaltyB
13,1,0,03/06/2016,19:10:00,TBC,Hachioji Park,Oakwood Geckoes,,,,,,Imperio FA,,,,,
13,2,0,03/06/2016,17:00:00,TBC,Fukuda Denshi,BFC Vagabonds,,,,,,Syu Syu Aoyama,,,,,
13,Cup,3,03/06/2016,15:10:00,TBC,Fukuda Denshi,Sala FC,,,,,,Guts FC,,,,,
13,3,0,03/06/2016,15:10:00,TBC,Redsland,Saitama Jets,,,,,,YCAC 1868,,,,,
13,2,0,03/06/2016,13:00:00,TBC,YCAC,King George FC,,,,,,British Embassy FC,,,,,
13,Cup,3,03/05/2016,19:10:00,TBC,Hachioji Park,Kanto Celts FC,,,,,,FC International,,,,,
13,Plate,2,03/05/2016,18:00:00,TBC,YCAC,Fussa FC,,,,,,Real Celts FC,,,,,
13,Cup,3,03/05/2016,15:10:00,TBC,Fukuda Denshi,Panthers FC,,,,,,Swiss Kickers,,,,,
13,3,0,02/28/2016,19:00:00,TBC,Hachioji Park,Shane FC,,,,,,Guts FC,,,,,
13,2,0,02/28/2016,17:10:00,TBC,Hachioji Park,Syu Syu Aoyama,,,,,,Zion FC,,,,,
13,3,0,02/28/2016,15:00:00,TBC,YCAC,Albion Oldboys,,,,,,YCAC 1868,,,,,
13,3,0,02/27/2016,19:00:00,TBC,Hachioji Park,Real Celts FC,,,,,,Oakwood Clash,,,,,
13,1,0,02/27/2016,17:30:00,TBC,YCAC,Imperio FA,,,,,,Hibernian FC,,,,,
13,2,0,02/27/2016,17:10:00,TBC,Fukuda Denshi,Lions FC,,,,,,Dutch FC,,,,,
13,2,0,02/27/2016,17:10:00,TBC,Hachioji Park,Fussa FC,,,,,,Sala FC,,,,,
13,3,0,02/27/2016,16:00:00,TBC,YCAC,Musketeers FC,,,,,,Jetro FC,,,,,
13,1,0,02/27/2016,14:30:00,TBC,YCAC,Panthers FC,,,,,,Swiss Kickers,,,,,
13,3,0,02/21/2016,17:10:00,TBC,Shimo Takaido,Nepal United FC,,,,,,Oakwood Clash,,,,,
13,3,0,02/21/2016,15:10:00,TBC,Redsland,Saitama Jets,,,,,,Guts FC,,,,,
13,3,0,02/21/2016,13:00:00,TBC,YCAC,YCAC 1868,,,,,,Shane FC,,,,,
13,1,0,02/21/2016,09:10:00,TBC,Chofu Nishimachi,Barbarians FC,,,,,,El Diego FC,,,,,
13,1,0,02/20/2016,18:30:00,TBC,YCAC,Kanto Celts FC,,,,,,FC International,,,,,
13,2,0,02/20/2016,17:10:00,TBC,Hachioji Park,King George FC,,,,,,Sala FC,,,,,
13,2,0,02/20/2016,17:00:00,TBC,YCAC,Lions FC,,,,,,British Embassy FC,,,,,
13,2,0,02/20/2016,10:00:00,TBC,YCAC,Dutch FC,,,,,,BFC Vagabonds,,,,,
13,1,0,02/14/2016,19:00:00,TBC,Hachioji Park,Barbarians FC,,,,,,Hibernian FC,,,,,
13,3,0,02/14/2016,18:10:00,TBC,Redsland,Saitama Jets,,,,,,Real Celts FC,,,,,
13,Plate,1,02/14/2016,17:10:00,TBC,Hachioji Park,Syu Syu Aoyama,,,,,,Zion FC,,,,,
13,3,0,02/14/2016,13:10:00,TBC,St Marys,Albion Oldboys,,,,,,Musketeers FC,,,,,
13,1,0,02/13/2016,19:10:00,TBC,Hachioji Park,BFC Tokyo,,,,,,Swiss Kickers,,,,,
13,1,0,02/13/2016,14:15:00,TBC,YCAC,El Diego FC,,,,,,Oakwood Geckoes,,,,,
13,2,0,02/13/2016,13:10:00,TBC,Setagaya Koen,Pumas FC,,,,,,BFC Vagabonds,,,,,
13,3,0,02/07/2016,17:00:00,Nick Lines,Fukuda Denshi,Guts FC,0,,,,,Musketeers FC,3,,,,
13,2,0,02/07/2016,15:10:00,Nick Lines,Fukuda Denshi,Lions FC,3,,,,,Sala FC,3,,,,
13,3,0,02/07/2016,15:10:00,Aaron Balogh,Redsland,Saitama Jets,0,,,,,Jetro FC,1,,,,
13,3,0,02/07/2016,15:00:00,Jonathan Boettger,YCAC,Shane FC,1,,,,,Albion Oldboys,2,,,,
13,1,0,02/06/2016,19:00:00,TBC,Hachioji Park,Hibernian FC,1,,,,,Kanto Celts FC,0,,,,
13,1,0,02/06/2016,17:10:00,Aaron Balogh,Hachioji Park,BFC Tokyo,3,,,,,FC International,0,,,,
